,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,1,-1.05,-1.05,0.013962507247924805,"['left', 'right']",-0.052500000000000005,-0.026250000000000002
1,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,0,-1.0,-2.05,0.007978200912475586,['left'],-0.10237500000000001,-0.051187500000000004
2,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,7,-1.35,-3.4,0.06681990623474121,"['left', 'right', 'up', 'right', 'left', 'left', 'up', 'down']",-0.1672559375,-0.0209069921875
3,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,7,-1.35,-4.75,0.0608365535736084,"['up', 'right', 'right', 'up', 'left', 'right', 'right', 'up']",-0.222795625,-0.024755069444444444
4,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,6,-1.3,-6.05,0.044879913330078125,"['up', 'down', 'up', 'left', 'down', 'left', 'down']",-0.2849203125,-0.02590184659090909
5,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,3,-1.15,-7.199999999999999,0.023934364318847656,"['right', 'left', 'right', 'right']",-0.3395041485546875,-0.03086401350497159
6,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,0,-1.0,-8.2,0.0069806575775146484,['up'],-0.3867728680859375,-0.03516116982599432
7,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,0,-1.0,-9.2,0.008974552154541016,['up'],-0.43167815164062506,-0.03924346833096592
8,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,14,-1.7000000000000002,-10.899999999999999,0.10970664024353027,"['left', 'right', 'right', 'right', 'right', 'up', 'down', 'down', 'up', 'right', 'down', 'up', 'down', 'up', 'left']",-0.5106928439042969,-0.03928406491571515
9,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,29,-2.4500000000000006,-13.35,0.19447898864746094,"['right', 'right', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'down', 'down', 'right', 'left', 'down', 'right', 'down', 'up', 'up', 'left', 'down', 'right', 'left', 'up', 'up', 'up', 'down', 'left']",-0.6061100436791578,-0.02525458515329824
